token,label
：,O
上,O
山,O
时,O
，,O
一,O
定,O
要,O
帮,O
他,O
最,O
疼,O
爱,O
的,O
妹,O
妹,O
，,O
多,O
拣,O
些,O
她,O
最,O
喜,O
欢,O
吃,O
的,O
红,O
浆,O
果,O
。,O
"
",O
"
",O
第,O
二,O
天,O
中,O
午,O
时,O
分,O
，,O
当,O
韩,O
立,O
顶,O
着,O
火,O
辣,O
辣,O
的,O
太,O
阳,O
，,O
背,O
着,O
半,O
人,O
高,O
的,O
木,O
柴,O
堆,O
，,O
怀,O
里,O
还,O
揣,O
着,O
满,O
满,O
一,O
布,O
袋,O
浆,O
果,O
，,O
从,O
山,O
里,O
往,O
家,O
里,O
赶,O
的,O
时,O
侯,O
，,O
并,O
不,O
知,O
道,O
家,O
中,O
已,O
来,O
了,O
一,O
位,O
，,O
会,O
改,O
变,O
他,O
一,O
生,O
命,O
运,O
的,O
客,O
人,O
。,O
"
",O
"
",O
这,O
位,O
贵,O
客,O
，,O
是,O
跟,O
他,O
血,O
缘,O
很,O
近,O
的,O
一,O
位,O
至,O
亲,O
，,O
他,O
的,O
亲,O
三,O
叔,O
。,O
"
",O
"
",O
听,O
说,O
，,O
在,O
附,O
近,O
一,O
个,O
小,O
城,O
的,O
酒,O
楼,O
，,O
给,O
人,O
当,O
大,O
掌,O
柜,O
，,O
是,O
他,O
父,O
母,O
口,O
中,O
的,O
大,O
能,O
人,O
。,O
韩,O
家,O
近,O
百,O
年,O
来,O
，,O
可,O
能,O
就,O
出,O
了,O
三,O
叔,O
这,O
么,O
一,O
位,O
有,O
点,O
身,O
份,O
的,O
亲,O
戚,O
。,O
"
",O
"
",O
韩,O
立,O
只,O
在,O
很,O
小,O
的,O
时,O
侯,O
，,O
见,O
过,O
这,O
位,O
三,O
叔,O
几,O
次,O
。,O
他,O
大,O
哥,O
在,O
城,O
里,O
给,O
一,O
位,O
老,O
铁,O
匠,O
当,O
学,O
徒,O
的,O
工,O
作,O
，,O
就,O
是,O
这,O
位,O
三,O
叔,O
给,O
介,O
绍,O
的,O
，,O
这,O
位,O
三,O
叔,O
还,O
经,O
常,O
托,O
人,O
给,O
他,O
父,O
母,O
捎,O
带,O
一,O
些,O
吃,O
的,O
用,O
的,O
东,O
西,O
，,O
很,O
是,O
照,O
顾,O
他,O
们,O
一,O
家,O
，,O
因,O
此,O
韩,O
立,O
对,O
这,O
位,O
三,O
叔,O
的,O
印,O
像,O
也,O
很,O
好,O
，,O
知,O
道,O
父,O
母,O
虽,O
然,O
嘴,O
里,O
不,O
说,O
，,O
心,O
里,O
也,O
是,O
很,O
感,O
激,O
的,O
。,O
"
",O
"
",O
大,O
哥,O
可,O
是,O
一,O
家,O
人,O
的,O
骄,O
傲,O
，,O
听,O
说,O
当,O
铁,O
匠,O
的,O
学,O
徒,O
，,O
不,O
但,O
管,O
吃,O
管,O
住,O
，,O
一,O
个,O
月,O
还,O
有,O
三,O
十,O
个,O
铜,O
板,O
拿,O
，,O
等,O
到,O
正,O
式,O
出,O
师,O
被,O
人,O
雇,O
用,O
时,O
，,O
挣,O
的,O
钱,O
可,O
就,O
更,O
多,O
了,O
。,O
"
",O
"
",O
每,O
当,O
父,O
母,O
一,O
提,O
起,O
大,O
哥,O
，,O
就,O
神,O
采,O
飞,O
扬,O
，,O
像,O
换,O
了,O
一,O
个,O
人,O
一,O
样,O
。,O
韩,O
立,O
年,O
龄,O
虽,O
小,O
，,O
也,O
羡,O
慕,O
不,O
已,O
，,O
心,O
目,O
最,O
好,O
的,O
工,O
作,O
也,O
早,O
早,O
就,O
有,O
了,O
，,O
就,O
是,O
给,O
小,O
城,O
里,O
的,O
哪,O
位,O
手,O
艺,O
师,O
傅,O
看,O
上,O
，,O
收,O
做,O
学,O
徒,O
，,O
从,O
此,O
变,O
成,O
靠,O
手,O
艺,O
吃,O
饭,O
的,O
体,O
面,O
人,O
。,O
"
",O
"
",O
所,O
以,O
当,O
韩,O
立,O
见,O
到,O
穿,O
着,O
一,O
身,O
崭,O
新,O
的,O
缎,O
子,O
衣,O
服,O
，,O
胖,O
胖,O
的,O
圆,O
脸,O
，,O
留,O
着,O
一,O
撮,O
小,O
胡,O
子,O
的,O
三,O
叔,O
时,O
，,O
心,O
里,O
兴,O
奋,O
极,O
了,O
。,O
"
",O
"
",O
把,O
木,O
柴,O
在,O
屋,O
后,O
放,O
好,O
后,O
，,O
便,O
到,O
前,O
屋,O
腼,O
腆,O
的,O
给,O
三,O
叔,O
见,O
了,O
个,O
礼,O
，,O
乖,O
乖,O
的,O
叫,O
了,O
声,O
：,O
“,O
三,O
叔,O
好,O
”,O
，,O
就,O
老,O
老,O
实,O
实,O
的,O
站,O
在,O
一,O
边,O
，,O
听,O
父,O
母,O
同,O
三,O
叔,O
聊,O
天,O
。,O
"
",O
"
",O
三,O
叔,O
笑,O
眯,O
眯,O
的,O
望,O
着,O
韩,O
立,O
，,O
打,O
量,O
着,O
他,O
一,O
番,O
，,O
嘴,O
里,O
夸,O
了,O
他,O
几,O
句,O
“,O
听,O
话,O
”,O
“,O
懂,O
事,O
”,O
之,O
类,O
的,O
话,O
，,O
然,O
后,O
就,O
转,O
过,O
头,O
，,O
和,O
他,O
父,O
母,O
说,O
起,O
这,O
次,O
的,O
来,O
意,O
。,O
"
",O
"
",O
韩,O
立,O
虽,O
然,O
年,O
龄,O
尚,O
小,O
，,O
不,O
能,O
完,O
全,O
听,O
懂,O
三,O
叔,O
的,O
话,O
，,O
但,O
也,O
听,O
明,O
白,O
了,O
大,O
概,O
的,O
意,O
思,O
。,O
"
",O
"
",O
原,O
来,O
三,O
叔,O
工,O
作,O
的,O
酒,O
楼,O
，,O
属,O
于,O
一,O
个,O
叫,O
“,O
七,O
玄,O
门,O
”,O
的,O
江,O
湖,O
门,O
派,O
所,O
有,O
，,O
这,O
个,O
门,O
派,O
有,O
外,O
门,O
和,O
内,O
门,O
之,O
分,O
，,O
而,O
前,O
不,O
久,O
，,O
三,O
叔,O
才,O
正,O
式,O
成,O
为,O
了,O
这,O
个,O
门,O
派,O
的,O
外,O
门,O
弟,O
子,O
，,O
能,O
够,O
推,O
举,O
7,O
岁,O
到,O
1,O
2,O
岁,O
的,O
孩,O
童,O
去,O
参,O
加,O
七,O
玄,O
门,O
招,O
收,O
内,O
门,O
弟,O
子,O
的,O
考,O
验,O
。,O
"
",O
"
",O
五,O
年,O
一,O
次,O
的,O
“,O
七,O
玄,O
门,O
”,O
招,O
收,O
内,O
门,O
弟,O
子,O
测,O
试,O
，,O
下,O
个,O
月,O
就,O
要,O
开,O
始,O
了,O
。,O
这,O
位,O
有,O
着,O
几,O
分,O
精,O
明,O
劲,O
自,O
己,O
尚,O
无,O
子,O
女,O
的,O
三,O
叔,O
，,O
自,O
然,O
想,O
到,O
了,O
适,O
龄,O
的,O
韩,O
立,O
。,O
"
",O
"
",O
一,O
向,O
老,O
实,O
巴,O
交,O
的,O
韩,O
父,O
，,O
听,O
到,O
“,O
江,O
湖,O
”,O
“,O
门,O
派,O
”,O
之,O
类,O
的,O
从,O
未,O
听,O
闻,O
过,O
的,O
话,O
，,O
心,O
里,O
有,O
些,O
犹,O
豫,O
不,O
决,O
拿,O
不,O
定,O
主,O
意,O
。,O
便,O
一,O
把,O
拿,O
起,O
旱,O
烟,O
杆,O
，,O
“,O
吧,O
嗒,O
”,O
“,O
吧,O
嗒,O
”,O
的,O
狠,O
狠,O
抽,O
了,O
几,O
口,O
，,O
就,O
坐,O
在,O
那,O
里,O
，,O
一,O
声,O
不,O
吭,O
。,O
"
",O
"
",O
在,O
三,O
叔,O
嘴,O
里,O
，,O
“,O
七,O
玄,O
门,O
”,O
自,O
然,O
是,O
这,O
方,O
圆,O
数,O
百,O
里,O
内,O
，,O
了,O
不,O
起,O
的,O
、,O
数,O
一,O
数,O
二,O
的,O
大,O
门,O
派,O
。,O
"
",O
"
",O
只,O
要,O
成,O
为,O
内,O
门,O
弟,O
子,O
，,O
不,O
但,O
以,O
后,O
可,O
以,O
免,O
费,O
习,O
武,O
吃,O
喝,O
不,O
愁,O
，,O
每,O
月,O
还,O
能,O
有,O
一,O
两,O
多,O
的,O
散,O
银,O
子,O
零,O
花,O
。,O
而,O
且,O
参,O
加,O
考,O
验,O
的,O
人,O
，,O
即,O
使,O
未,O
能,O
入,O
选,O
也,O
有,O
机,O
会,O
成,O
为,O
像,O
三,O
叔,O
一,O
样,O
的,O
外,O
门,O
人,O
员,O
，,O
专,O
门,O
替,O
“,O
七,O
玄,O
门,O
”,O
打,O
理,O
门,O
外,O
的,O
生,O
意,O
。,O
"
",O
"
",O
当,O
听,O
到,O
有,O
可,O
能,O
每,O
月,O
有,O
一,O
两,O
银,O
子,O
可,O
拿,O
，,O
还,O
有,O
机,O
会,O
成,O
为,O
和,O
三,O
叔,O
一,O
样,O
的,O
体,O
面,O
人,O
，,O
韩,O
父,O
终,O
于,O
拿,O
定,O
了,O
主,O
意,O
，,O
答,O
应,O
了,O
下,O
来,O
。,O
"
",O
"
",O
三,O
叔,O
见,O
到,O
韩,O
父,O
应,O
承,O
了,O
下,O
来,O
，,O
心,O
里,O
很,O
是,O
高,O
兴,O
。,O
又,O
留,O
下,O
几,O
两,O
银,O
子,O
，,O
说,O
一,O
个,O
月,O
后,O
就,O
来,O
带,O
韩,O
立,O
走,O
，,O
在,O
这,O
期,O
间,O
给,O
韩,O
立,O
多,O
做,O
点,O
好,O
吃,O
的,O
，,O
给,O
他,O
补,O
补,O
身,O
子,O
，,O
好,O
应,O
付,O
考,O
验,O
。,O
随,O
后,O
三,O
叔,O
和,O
韩,O
父,O
打,O
声,O
招,O
呼,O
，,O
摸,O
了,O
摸,O
韩,O
立,O
的,O
头,O
，,O
出,O
门,O
回,O
城,O
了,O
。,O
"
",O
"
",O
韩,O
立,O
虽,O
然,O
不,O
全,O
明,O
白,O
三,O
叔,O
所,O
说,O
的,O
话,O
，,O
但,O
可,O
以,O
进,O
城,O
能,O
挣,O
大,O
钱,O
还,O
是,O
明,O
白,O
的,O
。,O
"
",O
"
",O
一,O
直,O
以,O
来,O
的,O
愿,O
望,O
，,O
眼,O
看,O
就,O
有,O
可,O
能,O
实,O
现,O
，,O
他,O
一,O
连,O
好,O
几,O
个,O
晚,O
上,O
兴,O
奋,O
的,O
睡,O
不,O
着,O
觉,O
。,O
"
",O
"
",O
三,O
叔,O
在,O
一,O
个,O
多,O
月,O
后,O
，,O
准,O
时,O
的,O
来,O
到,O
村,O
中,O
，,O
要,O
带,O
韩,O
立,O
走,O
了,O
，,O
临,O
走,O
前,O
韩,O
父,O
反,O
复,O
嘱,O
咐,O
韩,O
立,O
，,O
做,O
人,O
要,O
老,O
实,O
，,O
遇,O
事,O
要,O
忍,O
让,O
，,O
别,O
和,O
其,O
他,O
人,O
起,O
争,O
执,O
，,O
而,O
韩,O
母,O
则,O
要,O
他,O
多,O
注,O
意,O
身,O
体,O
，,O
要,O
吃,O
好,O
睡,O
好,O
。,O
"
",O
"
",O
在,O
马,O
车,O
上,O
，,O
看,O
着,O
父,O
母,O
渐,O
渐,O
远,O
去,O
的,O
身,O
影,O
，,O
韩,O
立,O
咬,O
紧,O
了,O
嘴,O
唇,O
，,O
强,O
忍,O
着,O
不,O
让,O
自,O
己,O
眼,O
框,O
中,O
的,O
泪,O
珠,O
流,O
出,O
来,O
。,O
"
",O
"
",O
他,O
虽,O
然,O
从,O
小,O
就,O
比,O
其,O
他,O
孩,O
子,O
成,O
熟,O
的,O
多,O
，,O
但,O
毕,O
竟,O
还,O
是,O
个,O
十,O
岁,O
的,O
小,O
孩,O
，,O
第,O
一,O
次,O
出,O
远,O
门,O
让,O
他,O
的,O
心,O
里,O
有,O
点,O
伤,O
感,O
和,O
彷,O
徨,O
。,O
他,O
年,O
幼,O
的,O
心,O
里,O
暗,O
暗,O
下,O
定,O
了,O
决,O
心,O
，,O
等,O
挣,O
到,O
了,O
大,O
钱,O
就,O
马,O
上,O
赶,O
回,O
来,O
，,O
和,O
父,O
母,O
再,O
也,O
不,O
分,O
开,O
。,O
"
",O
"
",O
韩,O
立,O
从,O
未,O
想,O
到,O
，,O
此,O
次,O
出,O
去,O
后,O
钱,O
财,O
的,O
多,O
少,O
对,O
他,O
已,O
失,O
去,O
了,O
意,O
义,O
，,O
他,O
竟,O
然,O
走,O
上,O
了,O
一,O
条,O
与,O
凡,O
人,O
不,O
同,O
的,O
仙,O
业,O
大,O
道,O
，,O
走,O
出,O
了,O
自,O
己,O
的,O
修,O
仙,O
之,O
路,O
。,O
"
",O
"
",O
第,O
二,O
章,O
青,O
牛,O
镇,O
"
",O
"
",O
这,O
是,O
一,O
个,O
小,O
城,O
，,O
说,O
是,O
小,O
城,O
其,O
实,O
只,O
是,O
一,O
个,O
大,O
点,O
的,O
镇,O
子,O
，,O
名,O
字,O
也,O
叫,O
青,O
牛,O
镇,O
，,O
只,O
有,O
那,O
些,O
住,O
在,O
附,O
近,O
山,O
沟,O
里,O
、,O
没,O
啥,O
见,O
识,O
的,O
土,O
人,O
，,O
才,O
“,O
青,O
牛,O
城,O
”,O
“,O
青,O
牛,O
城,O
”,O
的,O
叫,O
个,O
不,O
停,O
。,O
这,O
是,O
干,O
了,O
十,O
几,O
年,O
门,O
丁,O
张,O
二,O
的,O
心,O
里,O
话,O
。,O
"
",O
"
",O
青,O
牛,O
镇,O
的,O
确,O
不,O
大,O
，,O
主,O
街,O
道,O
只,O
有,O
一,O
条,O
东,O
西,O
方,O
向,O
的,O
青,O
牛,O
街,O
，,O
连,O
客,O
栈,O
也,O
只,O
有,O
一,O
家,O
青,O
牛,O
客,O
栈,O
，,O
客,O
栈,O
坐,O
落,O
在,O
长,O
条,O
形,O
状,O
的,O
镇,O
子,O
的,O
西,O
端,O
，,O
所,O
以,O
过,O
往,O
的,O
商,O
客,O
不,O
想,O
露,O
宿,O
野,O
外,O
的,O
话,O
，,O
也,O
只,O
能,O
住,O
在,O
这,O
里,O
。,O
"
",O
"
",O
现,O
在,O
有,O
一,O
辆,O
一,O
看,O
就,O
是,O
赶,O
了,O
不,O
少,O
路,O
的,O
马,O
车,O
，,O
从,O
西,O
边,O
驶,O
入,O
青,O
牛,O
镇,O
，,O
飞,O
快,O
的,O
驶,O
过,O
青,O
牛,O
客,O
栈,O
的,O
大,O
门,O
前,O
，,O
停,O
都,O
不,O
停,O
，,O
一,O
直,O
飞,O
驰,O
到,O
镇,O
子,O
的,O
另,O
一,O
端,O
，,O
春,O
香,O
酒,O
楼,O
的,O
门,O
口,O
前,O
，,O
才,O
停,O
了,O
下,O
来,O
。,O
"
",O
"
",O
春,O
香,O
酒,O
楼,O
不,O
算,O
大,O
，,O
甚,O
至,O
还,O
有,O
些,O
陈,O
旧,O
，,O
但,O
却,O
有,O
一,O
种,O
古,O
色,O
古,O
香,O
的,O
韵,O
味,O
。,O
因,O
为,O
现,O
在,O
正,O
是,O
午,O
饭,O
时,O
分,O
，,O
酒,O
楼,O
里,O
用,O
饭,O
的,O
客,O
人,O
还,O
很,O
多,O
，,O
几,O
乎,O
称,O
的,O
上,O
是,O
座,O
无,O
虚,O
席,O
。,O
"
",O
"
",O
从,O
车,O
上,O
下,O
来,O
一,O
个,O
圆,O
脸,O
带,O
着,O
小,O
胡,O
子,O
的,O
胖,O
男,O
子,O
和,O
一,O
个,O
皮,O
肤,O
黝,O
黑,O
的,O
、,O
十,O
来,O
岁,O
的,O
小,O
孩,O
，,O
男,O
子,O
带,O
着,O
孩,O
童,O
直,O
接,O
就,O
大,O
摇,O
大,O
摆,O
地,O
进,O
了,O
酒,O
楼,O
。,O
有,O
酒,O
楼,O
里,O
的,O
熟,O
客,O
认,O
得,O
胖,O
子,O
，,O
知,O
道,O
他,O
是,O
这,O
个,O
酒,O
楼,O
的,O
掌,O
柜,O
“,O
韩,O
胖,O
子,O
”,O
，,O
那,O
个,O
小,O
孩,O
是,O
谁,O
却,O
无,O
人,O
认,O
得,O
。,O
"
",O
"
",O
“,O
老,O
韩,O
，,O
这,O
个,O
黑,O
小,O
子,O
长,O
的,O
和,O
你,O
很,O
像,O
，,O
不,O
会,O
是,O
你,O
背,O
着,O
家,O
里,O
婆,O
娘,O
生,O
的,O
儿,O
子,O
吧,O
。,O
”,O
有,O
个,O
人,O
突,O
然,O
打,O
趣,O
道,O
。,O
"
",O
"
",O
这,O
句,O
话,O
一,O
出,O
，,O
惹,O
的,O
旁,O
边,O
的,O
众,O
人,O
人,O
哈,O
哈,O
一,O
阵,O
大,O
笑,O
。,O
"
",O
"
",O
“,O
呸,O
！,O
这,O
是,O
我,O
本,O
家,O
带,O
来,O
的,O
亲,O
侄,O
子,O
，,O
当,O
然,O
和,O
我,O
有,O
几,O
分,O
像,O
了,O
。,O
”,O
胖,O
子,O
不,O
但,O
没,O
生,O
气,O
，,O
还,O
有,O
几,O
分,O
得,O
意,O
。,O
"
",O
"
",O
这,O
二,O
人,O
正,O
是,O
一,O
连,O
赶,O
了,O
三,O
天,O
路,O
，,O
才,O
刚,O
进,O
镇,O
子,O
的,O
韩,O
立,O
和,O
他,O
的,O
三,O
叔,O
别,O
人,O
口,O
中,O
的,O
“,O
韩,O
胖,O
子,O
”,O
。,O
"
",O
"
",O
韩,O
胖,O
子,O
招,O
呼,O
了,O
几,O
位,O
熟,O
客,O
一,O
声,O
，,O
便,O
把,O
韩,O
立,O
带,O
到,O
酒,O
楼,O
后,O
面,O
，,O
来,O
到,O
了,O
一,O
个,O
偏,O
僻,O
小,O
院,O
子,O
里,O
。,O
"
",O
"
",O
“,O
小,O
立,O
，,O
你,O
在,O
这,O
